Name,Status,Priority,Epic,Assignee,FR Reference,Notes,Source
"Quo-to-Jobber webhook integration","Done","High","[EPIC] Communication Capture","Trent","FR1","quo-to-jobber-request.json workflow live","PRD"
"Configure Quo call transcription","Done","High","[EPIC] Communication Capture","Matthew","FR1","Working in production","PRD"
"Replicate Vonage routing in Quo","In Progress","Urgent","[EPIC] Communication Capture","Matthew","","IVR config in progress","PRD"
"Complete Quo IVR menu configuration","In Progress","High","[EPIC] Communication Capture","Matthew","","","PRD"
"Port Vonage number to Quo","Blocked","High","[EPIC] Communication Capture","Trent","","Needs IVR doc + 2FA disabled","PRD"
"Test all routing scenarios before porting","Blocked","Urgent","[EPIC] Communication Capture","Matthew","","Depends on IVR config","PRD"
"Disable Vonage admin 2FA","Not Started","Urgent","[EPIC] Communication Capture","Kelsey","","Client action - blocker","Meeting"
"Document existing IVR menu","Not Started","High","[EPIC] Communication Capture","Kelsey","","Client action - blocker","Meeting"
"Install Quo on Alyssa's phone","Not Started","Urgent","[EPIC] Communication Capture","Kelsey","","Client action","Meeting"
"Configure voicemail webhook in Quo","Not Started","High","[EPIC] Communication Capture","Trent","FR2","Workflow designed, needs config","PRD"
"Configure SMS webhook in Quo","Not Started","High","[EPIC] Communication Capture","Trent","FR3","Workflow designed, needs config","PRD"
"Configure time-based routing","Not Started","Medium","[EPIC] Communication Capture","Matthew","","Morning/evening routing","PRD"
"Configure weekend call handling","Not Started","Medium","[EPIC] Communication Capture","Matthew","","Voicemail with notification","PRD"
"Quo webhook → AI processing workflow","Done","High","[EPIC] AI Data Extraction","Trent","FR14","Gemini integration in main workflow","PRD"
"AI name extraction from transcript","Done","High","[EPIC] AI Data Extraction","","FR14","Working in workflow","PRD"
"AI call summary generation","Done","High","[EPIC] AI Data Extraction","","FR15","Working in workflow","PRD"
"AI equipment extraction","Done","High","[EPIC] AI Data Extraction","","FR16","Working in workflow","PRD"
"Create Claude system prompt with glossary","Not Started","High","[EPIC] Transcription Quality","Matthew","FR7-13","Enhances accuracy","PRD"
"Get jargon brain dump from Kelsey","Not Started","High","[EPIC] Transcription Quality","Matthew","FR11","Input for glossary","Meeting"
"Create industry terminology glossary","Not Started","High","[EPIC] Transcription Quality","Matthew","FR7-13","Improves AI accuracy","PRD"
"Jobber GraphQL API integration","Done","High","[EPIC] Jobber Integration","Trent","FR18-21","In main workflow","PRD"
"Create/update Jobber Requests","Done","High","[EPIC] Jobber Integration","","FR19-20","Working","PRD"
"Client search by phone number","Done","High","[EPIC] Jobber Integration","","FR18","Working","PRD"
"Auto-create client if not found","Done","High","[EPIC] Jobber Integration","","FR19","Working","PRD"
"Configure Quo auto-create Request","Done","High","[EPIC] Jobber Integration","Trent","FR19","Working","PRD"
"Define Jobber Request lifecycle","In Progress","High","[EPIC] Jobber Integration","Trent","","How to mark done","PRD"
"Implement OAuth token auto-refresh","Not Started","Critical","[EPIC] Jobber Integration","Trent","FR24-25","CRITICAL - Tokens WILL expire","PRD"
"Test new caller → Request flow E2E","Not Started","High","[EPIC] Jobber Integration","Matthew","","End-to-end testing","PRD"
"New caller → Create new Request","Done","High","[EPIC] Request Routing Logic","","FR27","Working","PRD"
"Existing client → Link to record","Done","High","[EPIC] Request Routing Logic","","FR26","Working","PRD"
"Implement UC-2: Initial Client Calls","In Progress","High","[EPIC] Request Routing Logic","Trent","","","PRD"
"Implement UC-3: Follow-up Client Calls","In Progress","High","[EPIC] Request Routing Logic","Trent","","","PRD"
"Test Quo contact matching","Not Started","High","[EPIC] Request Routing Logic","Matthew","","Existing clients","PRD"
"Error logging to data table","Done","High","[EPIC] Failover & Reliability","Trent","FR6","quo_failed_webhooks table","PRD"
"Error notifications to Slack","Done","High","[EPIC] Failover & Reliability","Trent","FR37-38","Error handler workflow","PRD"
"Implement failover queue with retry","Not Started","Critical","[EPIC] Failover & Reliability","Trent","FR31-36","CRITICAL - No retry currently","PRD"
"Implement request deduplication","Not Started","High","[EPIC] Failover & Reliability","Trent","FR35","Prevent duplicates on retry","PRD"
"Test recovery flow E2E","Not Started","High","[EPIC] Failover & Reliability","Matthew","","","PRD"
"Daily Slack digest workflow","Done","High","[EPIC] Monitoring & Alerting","Trent","FR39","daily-call-summary.json","PRD"
"Error notifications to Slack","Done","High","[EPIC] Monitoring & Alerting","Trent","FR37-38","quo-jobber-error-handler.json","PRD"
"Webhook logging to data tables","Done","Medium","[EPIC] Monitoring & Alerting","Trent","FR6","","PRD"
"Configure Alyssa alert (3 pending)","Not Started","Medium","[EPIC] Monitoring & Alerting","Trent","","After 3 pending summaries","PRD"
"Build notification routing workflow","Not Started","Medium","[EPIC] Monitoring & Alerting","Trent","","","PRD"
"Create phone number inventory doc","Not Started","Medium","[EPIC] Operational Config","Matthew","","","PRD"
"Merge n8n workflows into repo","Not Started","Medium","[EPIC] Operational Config","Trent","","From Jan 14 meeting","Meeting"
"Merge plotter-mechanics-linux repo","Not Started","Medium","[EPIC] Operational Config","Trent","","From Jan 14 meeting","Meeting"
"Set up dedicated Quo voicemail line","Not Started","Medium","[EPIC] Operational Config","Matthew","","","PRD"
"Alyssa SOP for Request processing","Done","High","[EPIC] Documentation & Training","","FR47","alyssa-quo-jobber-request-processing.md","PRD"
"Quo integration design docs","Done","Medium","[EPIC] Documentation & Training","","","design/integrations/quo/","PRD"
"Jobber integration design docs","Done","Medium","[EPIC] Documentation & Training","","","design/integrations/jobber/","PRD"
"Create Phase 1 Progress Report","In Progress","Urgent","[EPIC] Documentation & Training","Mekaiel","","","PRD"
"Create training videos","Not Started","High","[EPIC] Documentation & Training","Team","FR49","Contractual requirement","PRD"
"Schedule live training session","Not Started","High","[EPIC] Documentation & Training","Chris","FR50","Contractual requirement","PRD"
"Train Alyssa on Quo","Not Started","High","[EPIC] Documentation & Training","Chris","","From Jan 14 meeting","Meeting"
"Schedule 2nd Alyssa meeting","Not Started","High","[EPIC] Documentation & Training","Team","","From Jan 14 meeting","Meeting"
"Schedule Joe meeting","Not Started","High","[EPIC] Documentation & Training","Team","","From Jan 14 meeting","Meeting"
"Document async handoff SOP","Not Started","Medium","[EPIC] Documentation & Training","Matthew","","","PRD"
"Document follow-up call SOP","Not Started","Medium","[EPIC] Documentation & Training","Matthew","","","PRD"
"Create Dropbox folder for social media","Not Started","Medium","[EPIC] Documentation & Training","Kelsey","","Client action from Jan 14","Meeting"
"Test: Call webhook → Request creation E2E","Not Started","High","[EPIC] Test Plan & Validation","","FR1,FR18-21","Happy path testing","PRD"
"Test: AI name extraction accuracy","Not Started","High","[EPIC] Test Plan & Validation","","FR14,NFR19","≥90% target","PRD"
"Test: AI summary quality","Not Started","High","[EPIC] Test Plan & Validation","","FR15","Manual review","PRD"
"Test: Equipment extraction accuracy","Not Started","Medium","[EPIC] Test Plan & Validation","","FR16","Manual review","PRD"
"Test: Client phone matching","Not Started","High","[EPIC] Test Plan & Validation","","FR18,NFR21","Existing clients","PRD"
"Test: New client auto-creation","Not Started","High","[EPIC] Test Plan & Validation","","FR19","Unknown callers","PRD"
"Test: Voicemail → Request flow","Not Started","High","[EPIC] Test Plan & Validation","","FR2","After webhook config","PRD"
"Test: SMS → Jobber notes flow","Not Started","Medium","[EPIC] Test Plan & Validation","","FR3","After webhook config","PRD"
"Test: OAuth token refresh","Not Started","Critical","[EPIC] Test Plan & Validation","","FR24-25","After implementation","PRD"
"Test: Failover queue recovery","Not Started","Critical","[EPIC] Test Plan & Validation","","FR31-36","After implementation","PRD"
