Name,Priority,Phase,Source,Notes
"[BACKLOG] Review Alternative Voice Agents - Retell","Low","TBD","PRD","Retell analysis"
"[BACKLOG] Review Alternative Voice Agents - Vapi","Low","TBD","PRD","Vapi analysis"
"[BACKLOG] Review Alternative Voice Agents - Voiceflow","Low","TBD","PRD","Voiceflow analysis"
"[BACKLOG] Same-topic request routing","Medium","Phase 2","PRD","Complex logic deferred"
"[BACKLOG] Additional phone lines (Alyssa)","Medium","Phase 2","Meeting","After ports complete"
"[BACKLOG] Additional phone lines (Joe)","Medium","Phase 2","Meeting","After ports complete"
"[BACKLOG] Phone menu/IVR system","Medium","Phase 2","PRD","After all lines set up"
"[BACKLOG] Demo Ply inventory software","High","Phase 2","Meeting","Kelsey demo Friday"
"[BACKLOG] Export contacts from Capsule","Medium","Phase 2","Meeting","For team review"
"[BACKLOG] Contact FBM re: Andrew suspension","Low","TBD","Meeting","Background research"
"[BACKLOG] Set up WhatsApp group","Low","TBD","Meeting","Team communication"
"[BACKLOG] Email → Jobber automation","Low","Phase 2","PRD","Deprioritized"
"[BACKLOG] External analytics storage","Low","Phase 2","PRD","If needed for scale"
"[BACKLOG] Inventory Management System","High","Phase 2","PRD","~$50k inventory tracking"
"[BACKLOG] AI Training System (Clone Kelsey)","Medium","Phase 3","PRD","Knowledge capture"
"[BACKLOG] Comprehensive dashboard","Medium","Phase 4","PRD","Full business visibility"
"[BACKLOG] Predictive maintenance","Low","Phase 4","PRD","Future capability"
"[BACKLOG] Franchise-ready operations","Low","Phase 4","PRD","Scale planning"
"[BACKLOG] AR collection automation","High","Phase 2","Meeting","$100k AR problem"
"[BACKLOG] Supplies JV with Andrew","Medium","Phase 2-3","Meeting","Potential partnership"
"[BACKLOG] Implement $75 travel fee","Medium","Phase 2","Meeting","Revenue protection"
"[BACKLOG] CC on file requirement","Medium","Phase 2","Meeting","Payment security"
"[BACKLOG] Separate webhook endpoints per type","Medium","Phase 2","PRD","FR43 - calls/voicemails/SMS"
"[BACKLOG] Long-term data retention strategy","Low","Phase 2","PRD","Beyond 90 days"
"[BACKLOG] QuickBooks integration","Low","Phase 3","Discovery","Financial automation"
"[BACKLOG] Outbound calls to Capsule","Low","Phase 2","Discovery","Kelsey workflow"
